Vreme,Temperatura,Pritisak,Zvuk,Svetlost,Pritisak,Vlažnost,Komentar
s,°C,kPa,dBA,lx,kPa,%RH,

166.56,14.7,100.3,61.0,710,100.46,32.2,
167.04,14.7,100.3,40.0,710,100.45,32.2,
167.52,14.8,100.3,67.4,709,100.48,32.2,
168,14.9,100.3,69.2,709,100.46,32.2,
168.48,14.9,100.3,77.0,709,100.43,32.2,
168.96,15.0,100.3,47.4,709,100.45,32.2,
169.44,15.0,100.3,72.1,708,100.46,32.2,
169.92,15.1,100.3,71.4,706,100.44,32.2,
170.4,15.1,100.3,59.1,706,100.44,32.2,
170.88,15.2,100.3,69.9,710,100.42,32.2,
171.36,15.2,100.3,55.8,709,100.43,32.2,
171.84,15.3,100.3,48.3,705,100.44,32.2,
172.32,15.3,100.3,62.1,704,100.46,32.1,
172.8,15.4,100.3,40.0,677,100.44,32.1,
173.28,15.4,100.3,62.6,590,100.48,32.1,
173.76,15.5,100.3,78.4,558,100.46,32.1,
174.24,15.5,100.3,64.1,1000,100.45,32.2,
174.72,15.6,100.3,69.5,1000,100.44,32.2,
175.2,15.6,100.3,68.0,1000,100.44,32.1,
175.68,15.7,100.3,65.3,1000,100.47,32.1,
176.16,15.7,100.3,68.2,1000,100.46,32.1,
176.64,15.7,100.3,50.3,1000,100.47,32.1,
177.12,15.8,100.3,73.6,1000,100.47,32.1,
177.6,15.8,100.3,60.8,1000,100.44,32.1,
178.08,15.9,100.3,40.0,1000,100.44,32.1,
178.56,15.9,100.3,66.9,1000,100.45,32.1,
179.04,15.9,100.3,76.8,1000,100.44,32.1,
179.52,16.0,100.3,70.3,1000,100.46,32.1,
180,16.0,100.3,44.7,1000,100.45,32.1,
180.48,16.1,100.3,40.0,1000,100.48,32.1,
180.96,16.1,100.3,40.0,1000,100.48,32.1,
181.44,16.2,100.3,78.5,1000,100.46,32.1,
181.92,16.2,100.3,64.9,1000,100.45,32.1,
182.4,16.2,100.3,70.6,1000,100.45,32.1,
182.88,16.3,100.3,67.8,1000,100.45,32.1,
183.36,16.3,100.5,72.4,1000,100.49,32.1,
183.84,16.3,100.3,48.3,1000,100.43,32.1,
184.32,16.4,100.3,40.0,1000,100.45,32.1,
184.8,16.4,100.3,40.0,1000,100.47,32.1,
185.28,16.5,100.3,71.1,1000,100.46,32.1,
185.76,16.5,100.3,72.6,1000,100.44,32.1,
186.24,16.5,100.3,71.5,1000,100.47,32.1,
186.72,16.6,100.3,70.5,508,100.44,32.1,
187.2,16.6,100.3,66.2,232,100.45,32.1,
187.68,16.6,100.3,56.4,117,100.45,32.1,
188.16,16.7,100.3,44.3,69,100.45,32.1,
188.64,16.7,100.3,40.0,48,100.43,32.1,
189.12,16.7,100.3,62.2,39,100.44,32.1,
189.6,16.8,100.5,55.5,36,100.43,32.1,
190.08,16.8,100.5,65.6,35,100.43,32.1,
190.56,16.9,100.5,66.0,35,100.46,32.1,
191.04,16.9,100.3,40.0,35,100.45,32.1,
191.52,16.9,100.5,40.0,35,100.43,32.1,
192,17.0,100.5,68.0,35,100.45,32.1,
